s,m/s
Time,"DUCT_FLOW_RATE"
 6.5153807E+001, 2.1715712E-001
 6.5209981E+001, 2.2924430E-001
 6.5322329E+001, 2.4060473E-001
 6.5434676E+001, 2.5439191E-001
 6.5547024E+001, 2.6613827E-001
 6.5603197E+001, 2.7346600E-001
 6.5715545E+001, 2.7917332E-001
 6.5827892E+001, 2.8453377E-001
 6.5940240E+001, 2.8719787E-001
 6.6052587E+001, 2.8728442E-001
 6.6108761E+001, 2.8585664E-001
 6.6221109E+001, 2.8309474E-001
 6.6333456E+001, 2.7787577E-001
 6.6445804E+001, 2.7112039E-001
 6.6501977E+001, 2.6528714E-001
 6.6614325E+001, 2.5888050E-001
 6.6726672E+001, 2.4983446E-001
 6.6839020E+001, 2.4049712E-001
 6.6951367E+001, 2.3121752E-001
 6.7007541E+001, 2.2447220E-001
 6.7119888E+001, 2.1809703E-001
 6.7232236E+001, 2.1025700E-001
 6.7344583E+001, 2.0335074E-001
 6.7400757E+001, 1.9880839E-001
 6.7513105E+001, 1.9491865E-001
 6.7625452E+001, 1.9057868E-001
 6.7737800E+001, 1.8718344E-001
 6.7850147E+001, 1.8461416E-001
 6.7906321E+001, 1.8312707E-001
 6.8018668E+001, 1.8199954E-001
 6.8131016E+001, 1.8086871E-001
 6.8243363E+001, 1.8006381E-001
 6.8355711E+001, 1.7946010E-001
 6.8411884E+001, 1.7907462E-001
 6.8524232E+001, 1.7870928E-001
 6.8636579E+001, 1.7820203E-001
 6.8748927E+001, 1.7763272E-001
 6.8805101E+001, 1.7715303E-001
 6.8917448E+001, 1.7661649E-001
 6.9029796E+001, 1.7583026E-001
 6.9142143E+001, 1.7497377E-001
